,LIBELLE
987,Angoulins-sur-Mer
988,St-Dié-des-Vosges
989,Illfurth
990,Ste-Léocadie
991,La Penne-sur-Huveaune
992,Troyes
993,La Chapelle-sur-Loire
994,Strasbourg-Cronenbourg
995,Montreuil-Belfroi
996,St-Jean-de-Losne
997,Courzieu-Brussieu
998,Pont-d'Ardres
999,Port-St-Louis-du-Rhône
1000,Lisle-sur-Tarn
1001,Achères-Ville
1002,St-Agnan
1003,La Chapelle-d'Ambès
1004,Vieilleville
1005,Auxerre-St-Gervais
1006,Mazamet
1007,Vallorcine
1008,Dunkerque
1009,Dannemarie
1010,Belfort
1011,Aixe-sur-Vienne
1012,Dompierre-Sept-Fons
1013,Clérac-Charente
1014,Rémilly
1015,Tours
1016,Pléchâtel
1017,Chaulnes
1018,Voujeaucourt
1019,Trémentines
1020,La Crèche
1021,Montville
1022,Lorraine-TGV
1023,Lizy-sur-Ourcq
1024,Mantes-la-Jolie
1025,St-Nazaire
1026,Triel-sur-Seine
1027,Rosières-aux-Salines
1028,Château-du-Loir
1029,Pont-du-Garigliano-Hôpital-Georges-Pompidou
1030,Hellemmes
1031,Beau-Marais
1032,Flers
1033,Balagny-St-Épin
1034,St-Étienne-Carnot
1035,La Rochefoucauld
1036,La Chapelle-Centre
1037,Itxassou
1038,Massy-Verrières
1039,Drap-Cantaron
1040,Moreuil
1041,Plerguer
1042,Athies-sous-Laon
1043,Lentilly-Charpenay
1044,Lamotte-Breuil
1045,Trélazé
1046,La Ricamarie
1047,Péreire-Levallois
1048,Gien
1049,St-Germain-des-Fossés
1050,Cavignac
1051,Bressuire
1052,Pont-Remy
1053,St-Gaudens
1054,Mouchard
1055,Miribel
1056,Ors
1057,Selles-sur-Cher
1058,Monnerville
1059,Annecy
1060,Lamanon
1061,Duppigheim
1062,Base Aérienne
1063,Corrèze
1064,Tourville
1065,Cambrai
1067,Carantilly-Marigny
1068,Montauban-de-Bretagne
1069,Allassac
1070,Tullins-Fures
1071,Givors-Canal
1072,Montereau
1073,St-Antoine-de-Breuilh
1074,Avignon-TGV
1075,Engenville
1076,Boisseaux
1077,Meyrargues
1078,St-Michel-Notre-Dame
1079,Ludon
1080,Colmar
1081,Liart
1082,Lux
1083,Herrlisheim-près-Colmar
1084,Montpon-Ménestérol
1085,Montbard
1086,St-Étienne-La Terrasse
1087,Moûtiers-Salins-Brides-les-Bains
1088,Avesnes
1089,Novillars
1090,Méru
1091,Guéthary
1092,Hundling
1093,Sarrebourg
1094,Gonfaron
1095,Gertwiller
1096,Cap-Martin-Roquebrune
1097,Rozières-sur-Mouzon
1098,Roeux
1099,Aimargues
1100,Artonges
1101,Parc-des-Expositions
1102,Wissembourg
1103,Thiviers
1104,Kédange
1105,Dordives
1106,Dijon-Ville
1107,Hangest
1108,Carnolès
1109,St-Vincent-de-Tyrosse
1110,Suresnes-Mont-Valérien
1111,Allenc
1112,Vertaizon
1113,Libercourt
1114,Orgères
1115,Montaigut
1116,St-Pierre-en-Faucigny
1117,Colleville-Ste-Hélène
1118,Pontailler-sur-Saône
1119,Arles
1120,Chamonix-Aiguille du Midi
1121,Bouffémont-Moisselles
1122,Albigny-Neuville
1123,Caudiès
1124,Schwindratzheim
1125,Docelles-Cheniménil
1126,Longuerue-Vieux-Manoir
1127,Hagondange
1128,Somain
1129,Messein
1130,St-Cyr-les-Lècques-La Cadière
1131,Chauffailles
1132,Latour-de-Carol-Enveitg
1133,Le Cateau
1134,Bassens
1135,Orléans
1136,Villefranche-sur-Mer
1137,Solliès-Pont
1138,Sèvres-Ville-d'Avray
1139,St-Yorre
1140,Coulanges-sur-Yonne
1141,Pompadour-Maisons-Alfort
1142,Corcy
1143,Gramat
1144,Reuilly
1145,La Jonchère
1147,Chaugey
1148,Suippes
1149,St-Florentin-Vergigny
1150,Mézin
1151,Ria
1152,St-Dié-des-Vosges
1153,Mauzac
1154,Ermont-Eaubonne
1155,Valenton
1156,Corbigny
1157,Dives-Cabourg
1158,Chèvremont
1159,St-Jean-d'Angély
1160,Brignoud
1161,Breil-sur-Roya
1162,Mont-de-Marsan
1163,Ille-sur-Têt
1164,Berre
1165,Bas-Évette
1166,Étainhus-St-Romain
1167,Obermodern
1168,Fontainebleau-Avon
1169,Sorcy
1170,Port-de-Piles
1171,Vif
1172,Villeneuve-Triage
1173,Moulins-sur-Yèvre
1174,Vigneux-sur-Seine
1175,Paul-Émile-Victor
1176,Mitry-Claye
1177,Évry-Courcouronnes
1178,Boissy-l'Aillerie
1179,Joigny-sur-Meuse
1180,Châtel-Nomexy
1181,Diemeringen
1182,Grigny-Centre
1183,Oderen
1184,Montescourt
1185,Noisy-le-Sec
1186,Loos-lez-Lille
1187,Chantonnay
1188,St-Pierre-de-Chignac
1189,Cernay
1190,Le Teich
1191,Buzançais
1192,Les Lacs
1193,Viroflay-Rive-Gauche
1194,Aigueperse
1195,Le Monastier
1196,Colmar-St-Joseph
1197,Vitry-sur-Seine
1198,Banassac-La Canourgue
1199,Lisieux
1200,Paris-St-Lazare
1201,Pierrefite-Stains TT
1202,Rimaucourt
1203,Buire-sur-l'Ancre
1204,Volvic
1205,Feignies
1206,Hombourg-Haut
1207,Chepy-Valines
1208,Saverdun
1209,Auboué
1210,Luxeuil-les-Bains
1211,Monsempron-Libos
1212,Chasseneuil (Vienne)
1213,Nice-Ville
1214,Beuvrages
1215,Château-Renault
1216,Maisons-Laffitte
1217,St-Loubès
1218,Anchamps
1219,Iwuy
1220,Villeneuve-l'Archevêque
1221,Perpignan
1222,Saujon
1223,Thiaville
1224,Roppenheim
1225,La Grave-d'Ambarès-Gare-Inférieure
1226,Bayeux
1227,Thomery
1228,Grasse
1229,Savenay
1230,Provins
1231,Francheville
1232,Marly-le-Roi
1233,La Bassée
1234,Miramas
1235,Mantes-Station
1236,Nantes
1237,Garchizy
1238,St-Germain-au-Mont-d'Or
1239,Thouaré
1240,Montdidier
1241,Virieu-sur-Bourbre
1242,Béning
1243,Kalhausen
1244,Auray
1245,Entrains
1246,Volvic
1247,Étais (GS)
1248,Villers-Bretonneux
1249,Salaise
1250,Verneuil-sur-Vienne
1251,Naintré-les-Barres
1252,Les Flachères
1253,Biot
1254,Charleville-Mézières
1255,Aubagne
1256,Vaux-sous-Aubigny
1257,St-Chéron
1258,Mayet
1259,Villeneuve-sur-Yonne
1260,Concarneau
1261,Hagondange
1262,Jessains
1263,Viviers-du-Lac
1264,Buzançais
1265,Ablon
1266,Lézignan-la-Cèbe
1267,Vaulry
1268,Le Havre-Graville
